НА:2026-09-11T23:59:59
"контрагент","1.1.Себестоимость продуктовая","1.9.Ремонт/Обслуживание производ.оборудования","2.4.Маркетинг","2.5.1.Расходы по реализации Прочие","2.5.6.Акция ФЗ","2Себестоимость (прочее)","3.3.1.Админ.расходы ПРОЧИЕ","3050 ВФП","4-Подотчет","5-Дебит.задолж.","7- Основные средства","99Главная касса","Авансы выданные","В/групповая реализация товаров и услуг","Выручка","Денежные средства","Доход от возмещение расходов на содержание гост.туалетов","Доходы прочие (аренда,ЧЛ и проч.)","Задолженность перед поставщиками","Зарплата","Касса Взаиморасчеты","Крафт Расходы","Кристал Каспии","Начисл БонусыП","Расчеты с гостями","Текущие расчеты с сотрудниками","Торговая выручка","Торговые кассы","ФЗ Жусан Банк","ФЗ Каспи","Цой Д.Л.Каспи","итого"
"0",16352262,0,0,0,0,10634147,0,0,0,0,-40000,-78139689,0,0,0,1053610,0,0,103132,76735524,0,0,0,0,1781255,-2349981,3990,35410,0,-10224104,77000,16022556
"00002336",0,0,0,0,0,0,0,0,0,0,0,-261775,0,0,0,0,0,0,0,297655,0,0,0,0,0,0,0,0,0,0,0,35880
"00439774",0,0,0,0,0,0,0,0,0,0,0,-591880,0,0,0,0,0,0,0,666000,0,0,0,0,0,0,0,0,0,-67197,0,6923
"0089903",0,0,0,0,0,0,0,0,0,0,0,-371410,0,0,0,0,0,0,0,446600,0,0,0,0,0,0,0,0,0,0,0,75190
"009",0,0,0,0,0,0,0,0,0,0,0,-188000,0,0,0,0,0,0,0,0,0,0,0,0,0,-293508,0,0,0,0,0,-481508
"01",0,0,0,0,0,0,0,0,0,0,0,-117885,0,0,0,0,0,0,-2000000,0,0,0,0,0,0,-271937,0,0,0,0,0,-2389822
"013",0,0,0,0,0,0,0,0,0,0,0,-569000,0,0,0,0,0,0,0,0,0,0,0,0,0,-339116,0,0,0,0,0,-908116
"016",0,0,0,0,0,0,0,0,0,0,0,-1520253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647869,0,-2168122
"02",0,0,0,0,0,0,0,0,0,0,0,-1404205,0,0,0,0,0,0,0,702000,0,0,0,0,0,0,0,0,0,-40000,0,-742205
"0203326",0,0,0,0,0,0,0,0,0,0,0,-1342769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-740955,0,-2083724
"022452",0,0,0,0,0,0,0,0,0,0,0,-2606000,0,0,0,0,0,0,0,0,0,0,0,0,0,-467278,0,0,0,0,0,-3073278
