НА:2026-06-30T23:59:59
"контрагент","1.1.Себестоимость продуктовая","1.9.Ремонт/Обслуживание производ.оборудования","2.4.Маркетинг","2.5.1.Расходы по реализации Прочие","2.5.6.Акция ФЗ","2Себестоимость (прочее)","3.3.1.Админ.расходы ПРОЧИЕ","3050 ВФП","4-Подотчет","5-Дебит.задолж.","7- Основные средства","99Главная касса","Авансы выданные","Выручка","Денежные средства","Доход от возмещение расходов на содержание гост.туалетов","Доходы прочие (аренда,ЧЛ и проч.)","Задолженность перед поставщиками","Зарплата","Касса Взаиморасчеты","Крафт Расходы","Кристал Каспии","Начисл БонусыП","Расчеты с гостями","Текущие расчеты с сотрудниками","Торговая выручка","Торговые кассы","ФЗ Жусан Банк","ФЗ Каспи","Цой Д.Л.Каспи","итого"
"0 Дубницкий Роман CV У",0,0,0,0,0,0,0,0,0,0,0,-2717773,0,0,0,0,0,0,3622727,0,0,0,0,0,0,0,0,0,-717738,0,187216
"00002336-528c-4ffc-a299-1e404e0e5d74",0,0,0,0,0,0,0,0,0,0,0,-261775,0,0,0,0,0,0,297655,0,0,0,0,0,0,0,0,0,0,0,35880
"00439774-4bdd-43fc-9129-f84c6aa00134",0,0,0,0,0,0,0,0,0,0,0,-591880,0,0,0,0,0,0,666000,0,0,0,0,0,0,0,0,0,-67197,0,6923
"0089903d-5be5-46bc-997f-c253757e7c38",0,0,0,0,0,0,0,0,0,0,0,-371410,0,0,0,0,0,0,446600,0,0,0,0,0,0,0,0,0,0,0,75190
"01-Фуд завод Астана",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000000,0,0,0,0,0,0,0,0,0,0,0,0,-2000000
"013ae414-a671-43e9-8462-fcc7de794f28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-283000,0,0,0,0,0,-283000
"016f5626-bd3a-4c9c-9c81-798d965e4004",0,0,0,0,0,0,0,0,0,0,0,-1520253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647869,0,-2168122
"01c70e3d-4bfd-49ed-b3c5-f6cb823e7668",0,0,0,0,0,0,0,0,0,0,0,-117885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-117885
"0203326d-ef9f-4314-87d5-80d6b79855b5",0,0,0,0,0,0,0,0,0,0,0,-1342769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-740955,0,-2083724
"022452b2-bb62-476b-89ff-07ac715e2570",0,0,0,0,0,0,0,0,0,0,0,-1689000,0,0,0,0,0,0,0,0,0,0,0,0,-451963,0,0,0,0,0,-2140963
