prefix,sum
ПЕРИОД:2026-07-01..2026-07-31,0
0Частное лицо Покупатель,138508
1-Базилик 1 (Шевченко),6219242
100-Сrave cafe (Cейфуллина): CV Склад ГП с Фуд завода,1218341
102-Яндекс лавка Абылай хана,62,6457723
102-Яндекс лавка Айтеке Би,16 Астана,318709
102-Яндекс лавка Байтурсынова 4/1 Астана,440295
102-Яндекс лавка Бухар Жырау,25/1 Астана,720129
102-Яндекс лавка Васнецова,25,5877384
102-Яндекс лавка Кожамкулова,202,5221541
102-Яндекс лавка Коктерек,2,1616623
102-Яндекс лавка Майлина,10 Астана,214916
102-Яндекс лавка Мамыр3,д.3,3054257
102-Яндекс лавка Навои,58/1,3730860
102-Яндекс лавка Розыбакиева 275А,4430885
102-Яндекс лавка Самал-2, дом 105,3647596
102-Яндекс лавка Сатпаева.90/21,4131586
102-Яндекс лавка Тимирязева 38/1,3118690
102-Яндекс лавка Толе би,51 Астана,816679
102-Яндекс лавка г.Алматы, Илийский р-н, с.Аскар Токпанов, уч.15Д, ул.Бережинского,20,6321710
104-DQ12 ТОО г.Тараз, Конаева 12,997064
107-AL Group ул.Мусатай Карима 12/12 офис 11,317542
110 АЗС №2 "Sinooil" пр. Абая 109б, уг.ул. Мирзояна,282874
110 АЗС №24 "Sinooil" Алматы - Бишкек 38км,79740
110 АЗС №25 "Sinooil" Алфараби - Розыбакиева,135791
110 АЗС №29 "Sinooil" г.Шымкент,Туркестанская обл.,Тулькубасский р-н,с.Жаскешу 24 квартал,уч.1144,107250
110 АЗС №41 "Sinooil" трасса Алматы-Хоргос 21,4 км,241452
110 АЗС №52 "Sinooil" Алматы - Нарынкол 1км,71820
110 АЗС №53 "Sinooil" трасса Алматы - Бишкек (за рестораном "БАХАР"),149400
110 АЗС №6 "Sinooil" с. Междуреченск, трасса Алматы_Астана,205440
110 АЗС №61 "Sinooil" трасса Алматы - Бишкек 45,5км,278250
110 АЗС №64 "Sinooil" мкр. Кок-Кайнар 1/10,55920
110 АЗС №65 "Sinooil" с. Жармухамед, уч. 1167, кв 34,,27678
110 АЗС №66 "Sinooil" Алматинск.обл.Кегенский р-н,с. Кеген,ул.Райымбек,89,154822
110 АЗС №67 "Sinooil" г. Жаркент, пр. Жибек жолы, уч. 185,275252
110 АЗС №68 "Sinooil" с. Атамекен, учетный квартал 135, здание 177,231810
110 АЗС №69 "Sinooil" Алм.обл.Енбекшиказахский р-н,село Шелек, ул.Малай батыра,499,155306
110 АЗС №7  "Sinooil" пр. Рыскулова 91а,73987
110 АЗС №70 "Sinooil" Алматинск.обл.Енбекшинск.р-н,село Пелек, уч.кв.262,стр.5,249974
110 АЗС №73 "Sinooil" Трасса Алматы-Усть-Каменогорск, 100а,74030
110 АЗС №9 "Sinooil" Медеуский р-н, пр. Райымбека,74,25164
111 ГЛОВО г. Алматы, ул. Желтоксан, дом 37А,783135
111 ГЛОВО г.Алматы, ул.Серкебаева, 31,1647979
2-Базилик 2 (Желтоксан),1218040
7-Kaspi Банк (Склад ГП): Склад ГП КБ,20190382
85-ДФЗ (дистрибьютор),104133319
86-Crave Cafe (Жетысу-4,2а): СН Склад ГП с Фудзавода,1188020
9-Базилик 5 (Аксай),2035460
90- Аль-Фараби 103 н.п.407 (Примавера),597558
90-АЛЬ-ФАРАБИ 17/1 к 5б (Нурлы Тау 5Б),828671
90-Аксай 4 д119 н.п.252 (магазин Опера),336363
90-Аль-Фараби 19 нп 515,246442
90-Аль-Фараби 27/1 (Магазин №92),500195
90-Аль-Фараби 27/3, нп 700 (№83 Аль-Фараби 27),542644
90-Аль-Фараби 41/7, нп 1102 (№85 Метрополь),543384
90-Аль-Фараби 69 Б,1949144
90-Аль-Фараби 7, пом. ВП 3-1-5А в БЦ Нурлы Тау,564350
90-Аль-Фараби ул.Ондасынова ,28/3 Юбилейный  7, пом. ВП 3-1-5А в БЦ Нурлы Тау,964116
90-Аль-Фараби,д. 15/1 маг. 91,596164
90-Аль-фараби 111а н.п.298 (Актолкын),725733
90-Бостандыкский, пр.Аль-Фараби, д.15/1 (Орион 3),224968
