Найдено смарт-процессов (entityTypeId): 39

[1052] None  воронки: [(17, 'Общая')]
[1056] None  воронки: [(19, 'Общая')]
[1060] None  воронки: []
[1066] None  воронки: []
[1074] None  воронки: []
[1080] None  воронки: []
[1092] None  воронки: []
[1098] None  воронки: []
[1102] None  воронки: []
[1106] None  воронки: []
[1110] None  воронки: [(41, 'Общая')]
[1138] None  воронки: [(51, 'Общая')]
[1152] None  воронки: []
[1156] None  воронки: []
[1166] None  воронки: []
[1182] None  воронки: [(67, 'Общая')]
[1186] None  воронки: []
[1194] None  воронки: []
[1198] None  воронки: []
[1206] None  воронки: [(79, 'Общая воронка')]
[1210] None  воронки: []
[1214] None  воронки: []
[1218] None  воронки: [(85, 'Общая воронка')]
[1222] None  воронки: [(87, 'Общая воронка')]
[1228] None  воронки: [(89, 'Общая воронка')]
[1232] None  воронки: [(91, 'Общая воронка')]
[1236] None  воронки: []
[1240] None  воронки: []
[1246] None  воронки: []
[1250] None  воронки: []
[1260] None  воронки: [(103, 'Общая воронка')]
[1264] None  воронки: [(105, 'Общая воронка')]
[1270] None  воронки: []
[1278] None  воронки: [(111, 'Общая воронка')]
[1282] None  воронки: []
[1290] None  воронки: []
[1294] None  воронки: [(123, 'Общая воронка')]
[2] None  воронки: [(21, 'Olive New')]
[31] None  воронки: []

ГОТОВО
