строка;контрагент;Отгрузка с 19.09.2026 по 25.09.2026;Поступление ДС с 19.09.2026 по 25.09.2026
1;48 723 720,00;;
2;ДЕБИТОРЫ;;
3;Поставщик;;
4;0ЧАСТНОЕ ЛИЦО ПОКУПАТЕЛЬ;0.0;34020.0
5;1-БАЗИЛИК 1 (ШЕВЧЕНКО);0.0;1133970.0
6;2-БАЗИЛИК 2 (ЖЕЛТОКСАН);0.0;425040.0
7;3-БАЗИЛИК 3 (АСТАНА);;
8;5555 ГРЭС ЦОЙ;;
9;7-Kaspi Банк (Склад ГП): Склад ГП КБ;0.0;
10;9-БАЗИЛИК 5 (АКСАЙ);0.0;490100.0
11;70-ТОО ТУАР (ШИНЛАЙН);;
12;81-NANDU;;
13;84-ТОО ГАМАУС (ДИСТРИБЬЮТОР);;
14;85-ДФЗ (дистрибьютор);0.0;26740000.0
15;86-Crave Cafe (Жетысу-4,2а): СН Склад ГП с Фудзавода;0.0;
16;89-ИП ЦОЙ Д.Л. (ТОРТЫ): СКЛАД ИП ЦОЙ ДЛ;;
17;90-ТОО Май Март;0.0;5050498.0
18;95-ТОО ФУД ПИКАССО (ДИСТРИБЬЮТОР);;
19;96-ТОО DSF (ДИСТРИБЬЮТОР);;5000000.0
20;97-ИП НИК И КО (КЕЙТЕРИНГ);0.0;
21;98-O-live: Склад O-live;0.0;2000000.0
22;99-RP АЗС 1 (все точки);0.0;5000000.0
23;100-Сrave cafe (Cейфуллина): CV Склад ГП с Фуд завода;0.0;
24;102-Яндекс лавка Абылай хана (все точки);0.0;13345478.0
25;103-БОБУХ ИП, УЛ. ТОРЕТАЙ 92, БУТИК 103;;
26;104-DQ12 ТОО Г.ТАРАЗ, КОНАЕВА 12;;153392.0
27;105-АЛГА ЭКСПРЕСС;;
28;107-AL Group ул.Мусатай Карима 12/12 офис 11;;
29;108-GO MARKET KRG ИП;;
30;109- ALI OIL ТОО Астана;;
31;"110 АЗС №2 ""Sinooil"" пр. Абая 109б (все точки)";0.0;
32;111 ГЛОВО г. Алматы (все точки);0.0;807529.0
33;112 PRO OIL SERVICE ИП;;
34;113-WOLT SERVICES KAZAKHSTAN;;
35;115- ДАРКСТОР;;
36;117-А-ГРУПП ХОЛДИНГ ТОО УЛ.ЩЕПЕТКОВА 189;;
37;119-NOA COFFEE ИП, УЛ.ЖАНДОСОВА 1;;
38;"121-ТОО ""Shagyn sauda";;
39;EYWA TERRACE ТОО;;
40;556-ROMANTIC (ТОРТЫ) МАХАМБЕТОВ АКЗЕР;;
41;558-ROMANTIC (ТОРТЫ) НУРЛЫБАЕВ АЛИБЕК;;
42;"560-HENRY ""BONNAR INC"" ТОРТЫ";;
43;561 BOGAT LABEL ТОО(ТОРТЫ);;
44;ИТОГО;;
45;;;
46;KC17   5 164 859 → 3 341 263;;
47;KF17   5 151 469 → 3 332 600;;
48;KI17   5 405 687 → 3 497 060;;
